1 Temperature:23.18 Humidity:27.272 Light:426 CO2:721.25 HumidityRatio:0.004792988
1 Temperature:23.15 Humidity:27.2675 Light:429.5 CO2:714 HumidityRatio:0.004783441
1 Temperature:23.15 Humidity:27.245 Light:426 CO2:713.5 HumidityRatio:0.004779464
1 Temperature:23.15 Humidity:27.2 Light:426 CO2:708.25 HumidityRatio:0.004771509
1 Temperature:23.1 Humidity:27.2 Light:426 CO2:704.5 HumidityRatio:0.004756993
1 Temperature:23.1 Humidity:27.2 Light:419 CO2:701 HumidityRatio:0.004756993
1 Temperature:23.1 Humidity:27.2 Light:419 CO2:701.6666667 HumidityRatio:0.004756993
1 Temperature:23.1 Humidity:27.2 Light:419 CO2:699 HumidityRatio:0.004756993
1 Temperature:23.1 Humidity:27.2 Light:419 CO2:689.3333333 HumidityRatio:0.004756993
1 Temperature:23.075 Humidity:27.175 Light:419 CO2:688 HumidityRatio:0.004745351
1 Temperature:23.075 Humidity:27.15 Light:419 CO2:690.25 HumidityRatio:0.004740952
1 Temperature:23.1 Humidity:27.1 Light:419 CO2:691 HumidityRatio:0.004739371
1 Temperature:23.1 Humidity:27.16666667 Light:419 CO2:683.5 HumidityRatio:0.004751119
1 Temperature:23.05 Humidity:27.15 Light:419 CO2:687.5 HumidityRatio:0.004733732
1 Temperature:23 Humidity:27.125 Light:419 CO2:686 HumidityRatio:0.004714942
1 Temperature:23 Humidity:27.125 Light:418.5 CO2:680.5 HumidityRatio:0.004714942
0 Temperature:23 Humidity:27.2 Light:0 CO2:681.5 HumidityRatio:0.004728078
0 Temperature:22.945 Humidity:27.29 Light:0 CO2:685 HumidityRatio:0.004727951
0 Temperature:22.945 Humidity:27.39 Light:0 CO2:685 HumidityRatio:0.004745408
0 Temperature:22.89 Humidity:27.39 Light:0 CO2:689 HumidityRatio:0.004729506
0 Temperature:22.89 Humidity:27.39 Light:0 CO2:689.5 HumidityRatio:0.004729506
0 Temperature:22.89 Humidity:27.39 Light:0 CO2:689 HumidityRatio:0.004729506
0 Temperature:22.89 Humidity:27.445 Light:0 CO2:691 HumidityRatio:0.004739076
0 Temperature:22.89 Humidity:27.5 Light:0 CO2:688 HumidityRatio:0.004748645
0 Temperature:22.89 Humidity:27.5 Light:0 CO2:689.5 HumidityRatio:0.004748645
0 Temperature:22.79 Humidity:27.445 Light:0 CO2:689 HumidityRatio:0.004710224
0 Temperature:22.79 Humidity:27.5 Light:0 CO2:685.6666667 HumidityRatio:0.004719735
0 Temperature:22.79 Humidity:27.5 Light:0 CO2:687 HumidityRatio:0.004719735
0 Temperature:22.79 Humidity:27.5 Light:0 CO2:688 HumidityRatio:0.004719735
0 Temperature:22.745 Humidity:27.5 Light:0 CO2:670 HumidityRatio:0.004706776
0 Temperature:22.7 Humidity:27.46333333 Light:0 CO2:668.6666667 HumidityRatio:0.004687543
0 Temperature:22.7 Humidity:27.5 Light:0 CO2:670 HumidityRatio:0.004693849
0 Temperature:22.7 Humidity:27.5 Light:0 CO2:667 HumidityRatio:0.004693849
0 Temperature:22.66666667 Humidity:27.42666667 Light:0 CO2:664.5 HumidityRatio:0.004671708
0 Temperature:22.7 Humidity:27.6 Light:0 CO2:670 HumidityRatio:0.004711047
0 Temperature:22.6 Humidity:27.42666667 Light:0 CO2:670.3333333 HumidityRatio:0.004652699
0 Temperature:22.6 Humidity:27.39 Light:0 CO2:672 HumidityRatio:0.004646433
0 Temperature:22.6 Humidity:27.35666667 Light:0 CO2:658 HumidityRatio:0.004640736
0 Temperature:22.6 Humidity:27.445 Light:0 CO2:660.5 HumidityRatio:0.004655833
0 Temperature:22.6 Humidity:27.42666667 Light:0 CO2:658 HumidityRatio:0.004652699
0 Temperature:22.6 Humidity:27.445 Light:0 CO2:655 HumidityRatio:0.004655833
0 Temperature:22.6 Humidity:27.445 Light:0 CO2:654.25 HumidityRatio:0.004655833
0 Temperature:22.6 Humidity:27.39 Light:0 CO2:648 HumidityRatio:0.004646433
0 Temperature:22.5 Humidity:27.32333333 Light:0 CO2:648.6666667 HumidityRatio:0.004606763
0 Temperature:22.5 Humidity:27.445 Light:0 CO2:646 HumidityRatio:0.004627429
0 Temperature:22.5 Humidity:27.5 Light:0 CO2:646 HumidityRatio:0.004636772
0 Temperature:22.5 Humidity:27.445 Light:0 CO2:641.5 HumidityRatio:0.004627429
0 Temperature:22.39 Humidity:27.29 Light:0 CO2:639 HumidityRatio:0.004570212
0 Temperature:22.5 Humidity:27.5 Light:0 CO2:640 HumidityRatio:0.004636772
0 Temperature:22.39 Humidity:27.34 Light:0 CO2:630.5 HumidityRatio:0.004578647
0 Temperature:22.39 Humidity:27.35666667 Light:0 CO2:629.3333333 HumidityRatio:0.004581459
0 Temperature:22.39 Humidity:27.5 Light:0 CO2:632 HumidityRatio:0.004605641
0 Temperature:22.39 Humidity:27.5 Light:0 CO2:636.5 HumidityRatio:0.004605641
0 Temperature:22.39 Humidity:27.5 Light:0 CO2:627.5 HumidityRatio:0.004605641
0 Temperature:22.39 Humidity:27.39 Light:0 CO2:626 HumidityRatio:0.004587082
0 Temperature:22.39 Humidity:27.5 Light:0 CO2:625.5 HumidityRatio:0.004605641
0 Temperature:22.34 Humidity:27.39 Light:0 CO2:623.5 HumidityRatio:0.00457305
0 Temperature:22.39 Humidity:27.46333333 Light:0 CO2:624.6666667 HumidityRatio:0.004599455
0 Temperature:22.39 Humidity:27.39 Light:0 CO2:622 HumidityRatio:0.004587082
0 Temperature:22.29 Humidity:27.39 Light:0 CO2:621 HumidityRatio:0.004559056
0 Temperature:22.34 Humidity:27.39 Light:0 CO2:626.5 HumidityRatio:0.00457305
0 Temperature:22.29 Humidity:27.39 Light:0 CO2:622 HumidityRatio:0.004559056
0 Temperature:22.39 Humidity:27.39 Light:0 CO2:620 HumidityRatio:0.004587082
0 Temperature:22.29 Humidity:27.39 Light:0 CO2:621.5 HumidityRatio:0.004559056
0 Temperature:22.29 Humidity:27.35666667 Light:0 CO2:616.3333333 HumidityRatio:0.004553467
0 Temperature:22.29 Humidity:27.34 Light:0 CO2:609 HumidityRatio:0.004550673
0 Temperature:22.29 Humidity:27.39 Light:0 CO2:614 HumidityRatio:0.004559056
0 Temperature:22.29 Humidity:27.34 Light:0 CO2:613.5 HumidityRatio:0.004550673
0 Temperature:22.29 Humidity:27.34 Light:0 CO2:611 HumidityRatio:0.004550673
0 Temperature:22.29 Humidity:27.39 Light:0 CO2:612 HumidityRatio:0.004559056
0 Temperature:22.29 Humidity:27.29 Light:0 CO2:608 HumidityRatio:0.00454229
0 Temperature:22.29 Humidity:27.29 Light:0 CO2:605.5 HumidityRatio:0.00454229
0 Temperature:22.2675 Humidity:27.315 Light:0 CO2:608.5 HumidityRatio:0.004540214
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:608.5 HumidityRatio:0.004517288
0 Temperature:22.245 Humidity:27.29 Light:0 CO2:602.5 HumidityRatio:0.004529774
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:598 HumidityRatio:0.004517288
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:595 HumidityRatio:0.004517288
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:591 HumidityRatio:0.004517288
0 Temperature:22.245 Humidity:27.245 Light:0 CO2:591 HumidityRatio:0.00452225
0 Temperature:22.2 Humidity:27.2 Light:0 CO2:595 HumidityRatio:0.004502283
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:594.3333333 HumidityRatio:0.004517288
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:593.5 HumidityRatio:0.004517288
0 Temperature:22.2 Humidity:27.29 Light:0 CO2:592 HumidityRatio:0.004517288
0 Temperature:22.15 Humidity:27.245 Light:0 CO2:586.5 HumidityRatio:0.004495971
0 Temperature:22.2 Humidity:27.2 Light:0 CO2:586 HumidityRatio:0.004502283
0 Temperature:22.15 Humidity:27.245 Light:0 CO2:586 HumidityRatio:0.004495971
0 Temperature:22.2 Humidity:27.245 Light:0 CO2:584.5 HumidityRatio:0.004509785
0 Temperature:22.1 Humidity:27.245 Light:0 CO2:584.5 HumidityRatio:0.004482195
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:585.5 HumidityRatio:0.004474738
0 Temperature:22.13333333 Humidity:27.2 Light:0 CO2:584.6666667 HumidityRatio:0.004483903
0 Temperature:22.2 Humidity:27.2 Light:0 CO2:577 HumidityRatio:0.004502283
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:580 HumidityRatio:0.004474738
0 Temperature:22.125 Humidity:27.2 Light:0 CO2:582 HumidityRatio:0.00448161
0 Temperature:22.2 Humidity:27.2 Light:0 CO2:580 HumidityRatio:0.004502283
0 Temperature:22.1 Humidity:27.15 Light:0 CO2:578 HumidityRatio:0.004466454
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:576.5 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:580 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:572.5 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:567 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:568 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:574.5 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:564.3333333 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.2 Light:0 CO2:563 HumidityRatio:0.004474738
0 Temperature:22.1 Humidity:27.15 Light:0 CO2:564.5 HumidityRatio:0.004466454
0 Temperature:22.06666667 Humidity:27.16666667 Light:0 CO2:566.3333333 HumidityRatio:0.004460078
0 Temperature:22.1 Humidity:27.1 Light:0 CO2:562 HumidityRatio:0.004458169
0 Temperature:22 Humidity:27.1 Light:0 CO2:565.5 HumidityRatio:0.004430876
0 Temperature:22 Humidity:27.1 Light:0 CO2:570 HumidityRatio:0.004430876
0 Temperature:22.05 Humidity:27.15 Light:0 CO2:562 HumidityRatio:0.004452763
0 Temperature:22 Humidity:27.1 Light:0 CO2:560 HumidityRatio:0.004430876
0 Temperature:22 Humidity:27.1 Light:0 CO2:558 HumidityRatio:0.004430876
0 Temperature:22 Humidity:27.1 Light:0 CO2:556 HumidityRatio:0.004430876
0 Temperature:22 Humidity:27.1 Light:0 CO2:557 HumidityRatio:0.004430876
0 Temperature:21.9175 Humidity:27.1 Light:0 CO2:556.5 HumidityRatio:0.004408469
0 Temperature:21.945 Humidity:27.1 Light:0 CO2:557.5 HumidityRatio:0.004415927
0 Temperature:21.92666667 Humidity:27.1 Light:0 CO2:555 HumidityRatio:0.004410954
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:555 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:553 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:549.5 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:548.5 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:551.5 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:548.5 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:548 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:547.5 HumidityRatio:0.004401023
0 Temperature:21.89 Humidity:27.1 Light:0 CO2:553 HumidityRatio:0.004401023
0 Temperature:21.84 Humidity:27.1 Light:0 CO2:547.5 HumidityRatio:0.004387512
0 Temperature:21.85666667 Humidity:27.1 Light:0 CO2:548.6666667 HumidityRatio:0.004392012
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:540 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:538 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:542 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:542 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:538 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:537.6666667 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:537.5 HumidityRatio:0.004374038
0 Temperature:21.79 Humidity:27.1 Light:0 CO2:536 HumidityRatio:0.004374038
0 Temperature:21.745 Humidity:27.1 Light:0 CO2:534.5 HumidityRatio:0.004361943
0 Temperature:21.7 Humidity:27.1 Light:0 CO2:532.5 HumidityRatio:0.004349877
0 Temperature:21.76 Humidity:27.1 Light:0 CO2:530 HumidityRatio:0.004365971
0 Temperature:21.745 Humidity:27.05 Light:0 CO2:529.5 HumidityRatio:0.004353839
0 Temperature:21.79 Humidity:27.05 Light:0 CO2:531 HumidityRatio:0.004365912
0 Temperature:21.73 Humidity:27 Light:0 CO2:533.3333333 HumidityRatio:0.004341725
0 Temperature:21.745 Humidity:27 Light:0 CO2:531 HumidityRatio:0.004345735
0 Temperature:21.745 Humidity:27 Light:0 CO2:529 HumidityRatio:0.004345735
0 Temperature:21.745 Humidity:27 Light:0 CO2:528.5 HumidityRatio:0.004345735
0 Temperature:21.7 Humidity:27 Light:0 CO2:525 HumidityRatio:0.004333714
0 Temperature:21.7 Humidity:27 Light:0 CO2:528.5 HumidityRatio:0.004333714
0 Temperature:21.7 Humidity:27 Light:0 CO2:530.5 HumidityRatio:0.004333714
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:528 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:526 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:530 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:533.3333333 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:529 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:528 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:526 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.89 Light:0 CO2:526 HumidityRatio:0.004315936
0 Temperature:21.7 Humidity:26.79 Light:0 CO2:521 HumidityRatio:0.004299774
